"Sport,id"
"Camping,150"
"Hiking,147"
"Bmx,281"
"Road Biking,282"
"City Bike,283"
"Hybrid Biking,284"
"Mountain Biking,285"
"Track And Field,12"
"Trail,280"
"Jogging,389"
"Road Running,461"
"Dance,100"
"Gymnastics,104"
"Yoga,292"
"Fitness / Cardio Training,109"
"Weight Training,351"
"Gymnastics / Pilates,428"
"Boxing,127"
"Jiu Jitsu,293"
"Aikido,294"
"Kendo,295"
"Tai Chi,296"
"Kung Fu,297"
"Capoiera,298"
"Sambo,299"
"Taekwondo,300"
"Karate,301"
"Judo,302"
"Wrestling,303"
"Fencing,304"
"Diving,186"
"Aquafit,219"
"Swimming,224"
"Canoeing / Kayaking,318"
"Stand Up Paddleboarding,319"
"Skimboard,320"
"Bodyboard,321"
"Surfing,322"
"Windsurfing,323"
"Kiteboarding,324"
"Water Skiing,328"
"Wakeboarding,329"
"Tow Sports,330"
"Aqualearning,331"
"Water Polo,405"
"Triathlon,449"
"Body Surfing,471"
"Land Kite / Power Kite,473"
"Ice Skating,160"
"Scooter,163"
"Inline Skating,166"
"Skateboarding,171"
"Ice Hockey,175"
"Inline And Street Hockey,404"
"Golf,178"
"Billiard Sports,315"
"Darts,184"
"Pétanque / Skittles / Shuffleboard,182"
"Archery,180"
"Hunting,29"
"Sport Shooting,392"
"Equestrian Centre,286"
"Trail Riding,287"
"Western Riding,288"
"Snowboarding,70"
"Skiing,66"
"Sledding,253"
"Climbing,37"
"Mountaineering,45"
"Canyoning,51"
"Spelunking,49"
"Slacklining,409"
"Power Walking,395"
"Nordic Walking,488"
"Race Walking?,487"
"Table Tennis,139"
"Squash,141"
"Badminton,132"
"Tennis,134"
"Frescobol,310"
"Beach Tennis,305"
"Speedball,307"
"Frontennis,306"
"Peteca,309"
"Racquet Sports,313"
"Racquetball,312"
"Basque Rural Sports,311"
"Padel,143"
"Pickleball,466"
"Speed Badminton,308"
"Handball,96"
"Rugby,89"
"Volleyball,93"
"Soccer,81"
"Football,87"
"Baseball,74"
"Basketball,78"
"Lacrosse,289"
"Cricket,76"
"Netball,290"
"Field Hockey,98"
"Orienteering,490"
"Figure Skating,162"
